material,Df,T_eval_K,mode,Tc_K,xi_nm,lambda_nm,kappa,Hc_Aperm,Hc1_Aperm,Hc2_Aperm,Jd_Aperm2,Jpin_Aperm2,Jc_Aperm2,Bext_T,vF,m_eff,ns,lambda_ep,mu_star,theta_b
MgB2,1.28,0.0,mcmillan,38.73164723704333,10.96747421093814,37.48126906627567,3.4174932482535185,450495.02665532246,161153.24291869212,2177271.8816002817,4626193854289.047,1216979911138.2988,1216979911138.2988,1.0,307497.9690315623,1.333089325731204e-30,7.354277852330548e+27,0.9270597073139585,0.1,759.3146198606867
MgB2,1.3,0.0,mcmillan,38.88359270856426,10.941567462514085,37.39420285923985,3.417627591965479,452613.0667351784,161908.2350077796,2187594.4998894986,4658766260320.266,1220714284388.9614,1220714284388.9614,1.0,307975.0893912696,1.3310240805846825e-30,7.377117664432485e+27,0.9287861095996129,0.1,759.9034758498151
MgB2,1.32,0.0,mcmillan,39.03352048795363,10.91619444759978,37.30866360174142,3.417735345484318,454705.2346386108,162654.4807843986,2197775.7724135453,4691031774333.515,1224343558106.9575,1224343558106.9575,1.0,308445.6486217879,1.3289934937699233e-30,7.399678078622313e+27,0.9304892952488257,0.1,760.4837875759432
MgB2,1.34,0.0,mcmillan,39.181486533257264,10.8913361793553,37.22460197933023,3.417817737541703,456772.2204799047,163392.2100456758,2207819.580732694,4722997702771.069,1227872046329.079,1227872046329.079,1.0,308909.8343364656,1.3269964715772413e-30,7.421966669427538e+27,0.9321699212449359,0.1,761.0558056942165
MgB2,1.36,0.0,mcmillan,39.32754445655806,10.866974620507579,37.14197097649445,3.4178759290007075,458814.68616076023,164121.64324751592,2217729.6462486684,4754671074235.853,1231303829483.686,1231303829483.686,1.0,309367.8260816028,1.3250319704928646e-30,7.443990696679978e+27,0.9338286165127716,0.1,761.6197699003127
MgB2,1.38,0.0,mcmillan,39.47174565479617,10.84309262259314,37.06072573752305,3.4179110174067597,460833.2669146678,164842.9920149736,2227509.538986668,4786058653915.978,1234642770038.463,1234642770038.463,1.0,309819.79579612386,1.323098994196447e-30,7.465757123000701e+27,0.9354659835095012,0.1,762.175909562702
MgB2,1.4,0.0,mcmillan,39.61413943153061,10.819673869911393,36.98082343766835,3.4179240411773333,462828.57274589076,165556.4596177984,2237162.6857791874,4817166957065.073,1237892526904.89,1237892526904.89,1.0,310265.90823881404,1.3211965907787705e-30,7.487272630075481e+27,0.9370825997036739,0.1,762.7244443098546
MgB2,1.42,0.0,mcmillan,39.754773110389216,10.796702827761091,36.9022231637108,3.4179159834635553,464801.18977164896,166262.24141399426,2246692.37790025,4848002261612.882,1241056568713.2751,1241056568713.2751,1.0,310706.3213858384,1.3193238501605966e-30,7.508543633820438e+27,0.9386790189517797,0.1,763.2655845761991
MgB2,1.44,0.0,mcmillan,39.8936921408813,10.774164694577218,36.82488580311834,3.417887775713397,466751.6814752555,166960.52526395832,2256101.77819392,4878570619973.331,1244138186060.3828,1244138186060.3828,1.0,311141.18680099444,1.317479901695515e-30,7.529576298527991e+27,0.9402557727807718,0.1,763.7995321102682
MgB2,1.46,0.0,mcmillan,40.03094019718479,10.752045357624464,36.74877394107169,3.4178403009630616,468680.5898772617,167651.4919175312,2265393.927736979,4908877870111.576,1247140502821.3035,1247140502821.3035,1.0,311570.6499809222,1.3156639119413206e-30,7.55037655007489e+27,0.9418133715841744,0.1,764.3264804481322
MgB2,1.48,0.0,mcmillan,40.16655927046367,10.730331351937792,36.67385176469823,3.417774396880604,470588.4366310133,168335.31537607557,2274571.752072099,4938929645925.914,1250066486608.029,1250066486608.029,1.0,311994.85067728144,1.3138750825859362e-30,7.57095008826638e+27,0.94335230573871,0.1,764.8466153549368
MgB2,1.5,0.0,mcmillan,40.30058975521901,10.709009822231879,36.60008497391968,3.417690858583208,472475.7240484306,169012.1632315061,2283638.067044356,4968731386995.484,1252918958448.923,1252918958448.923,1.0,312413.92319772317,1.3121126485152357e-30,7.59130239838389e+27,0.9448730466477109,0.1,765.3601152370895
